C_ID
RDLD
REE
REG
REGI
REN
RENO
RHO
RHOD
RI
RIC
RICE
RICH
RID
RIP
RISD
RIT
RIV
RKHS
RKMT
RMAC
RMAW
ROA
ROCH
ROCK
ROG
ROL
ROS
ROSE
ROW
ROWA
RUSS
RUTB
RUTC
RUTG
RUTN
SAAO
SAC
SADV
SAL
SALE
SALI
SALV
SAM
SAM 
SAN 
SAND
SANF
SANS
SAR
SAV
SCAK
SCAR
SCC
SCH
SCLD
SCOL
SCR
SCRN
SCRZ
SCU
SDAK
SDMT
SDST
SDSU
SEA
SEAP
SELA
SEMO
SEOK
SET
SETH
SEWA
SFCI
SFCS
SFDS
SFST
SHI
SHO
SHT
SIL
SIMM
SIMP
SIND
SIO
SIUE
SJCI
SJCL
SJCO
SJFS
SJNM
SJST
SKI
SLMC
SLSB
SLU
SMCA
SMCI
SMI
SMMN
SMNS
SMPS
SMU
SNA
SNCB
SNHT
SOCK
SOFL
SOKA
SOMS
SONO
SOTH
SOUT
SPA
SPE
SPR
SPRI
ST B
ST J
ST L
ST O
STAM
STAN
STAQ
STAT
STCL
STCT
STED
STET
STEU
STHL
STJ
STJA
STJM
STJN
STJS
STJY
STKY
STLW
STMA
STMC
STMD
STMI
STMN
STMT
STNY
STOC
STON
STP
STPH
STPL
STSA
STSL
STTX
STXV
SUFF
SUS
SVCS
SVIT
SWAR
SWBP
SWCL
SWE
SWMS
SWST
SWU
SYDC
SYR
TAB
TAL
TAM
TAMG
TAMU
TAY
TCLM
TCU
TEMP
TEN
TENN
TEX
TEXD
THE
THI
TIF
TLSA
TMPA
TNMT
TOL
TOUR
TOWS
TRA
TRE
TRI
TRIC
TRID
TRIN
TRIV
TRNT
TRRY
TRTX
TRUM
TSKG
TUFT
TUL
TWES
TXLT
TXSO
TXST
TXTC
TXWO
UAB
UCDV
UCF
UCHI
UCIV
UCLA
UCRS
UCSB
UCSD
UGA
UIC
UIUC
UK
UMBC
UNC
UNCA
UNCG
UNCL
UNCW
UNF
UNG
UNI
UNIO
UNJ
UNKY
UNLV
UNM
UNNY
UNON
UPAC
UPP
URS
URSN
USC
UTA
UTAH
UTEP
UTK
UTRGV
UTSA
UTST
UVA
UWEC
UWEU
UWGB
UWLC
UWOS
UWSP
UWST
UWW
VALP
VAN
VANG
VAPT
VAS
VCST
VCU
VIL
VIRG
VIT
VMI
VMT
VNNZ
VOO
VSU
VT
VUNN
VWES
WAB
WAG
WAK
WAL
WAM
WAR
WART
WASH
WAST
WAYN
WBRG
WBST
WBTL
WCAR
WCHS
WCOL
WCPA
WEAM
WEB
WEBE
WEL
WEN
WES
WESL
WFDS
WFL
WHE
WHEA
WHI
WHIT
WICH
WID
WIL
WILS
WIN
WIS
WISC
WIT
WJEF
WJST
WJWL
WKU
WLBS
WLEE
WLLS
WLMS
WLMT
WMD
WMMO
WMNC
WMNM
WMNP
WMNT
WMU
WNEC
WNNA
WOF
WOOS
WOR
WPLY
WRIG
WSBT
WSCL
WSHU
WSJF
WSMP
WSMT
WSST
WTRP
WTTR
WUST
WVU
WVWC
WWAS
WWOD
WY
XAV
XAVL
YAL
YESH
YOR
