,Institution,C_ID,% Fraternity,% Sorority,Fraternity,Sorority
188,Samford University,SAM,0.35,0.61,0,0
189,University of San Diego,SAND,0.21,0.31,1,1
190,The University of Texas at Dallas,TEXD,0.02,0.05,1,1
191,Saint Anselm College,SANS,0,0,0,0
192,Sarah Lawrence College,SAR,0,0,0,0
193,Scripps College,SCR,0,0,0,0
194,University of Scranton,SCRN,0,0,0,0
195,Santa Clara University,SCU,0,0,0,0
196,South Dakota State University,SDST,0.06,0.03,1,1
197,San Diego State University,SDSU,0.08,0.12,1,1
198,Seattle University,SEA,0,0,0,0
199,Seton Hall University,SET,0.15,0.22,1,1
200,Skidmore College,SKI,0,0,0,0
201,Saint Louis University,SLU,0.11,0.25,0,0
202,Smith College,SMI,0,0,0,0
203,Southern Methodist University,SMU,0.26,0.35,0,0
204,Siena College,SNA,0,0,0,0
205,University of South Florida,SOFL,0.04,0.06,1,1
206,Spelman College,SPE,0,0,0,1
207,Stetson University,STET,0.2,0.23,1,1
208,Stonehill College,STHL,0,0,0,0
209,Saint Joseph's University,STJ,0.05,0.25,1,1
210,Saint Mary's College,STMA,0,0,0,0
211,St. Mary's College of Maryland,STMD,0,0,0,0
212,Saint Michael's College,STMI,0,0,0,0
213,Susquehanna University,SUS,0.19,0.17,1,1
214,Stevens Institute of Technology,SVIT,0.21,0.31,0,1
215,Southwestern University,SWU,0.21,0.22,0,0
216,Syracuse University,SYR,0.23,0.44,1,1
217,Texas Christian University,TCU,0.42,0.53,1,1
218,University of Tulsa,TLSA,0.19,0.21,1,1
219,Transylvania University,TRA,0.45,0.41,1,1
220,Trinity University,TRNT,0.07,0.13,0,0
221,Tulane University,TUL,0.22,0.51,1,1
222,University of Central Florida,UCF,0.03,0.06,1,1
223,University of Chicago,UCHI,0,0,1,1
224,University of Georgia,UGA,0.22,0.33,1,1
225,University of Illinois at Chicago,UIC,0.05,0.05,1,1
226,University of North Carolina at Chapel Hill,UNC,0.15,0.17,1,1
